發生時間,發生地點,死亡人數,車種
110年01月13日 11時00分00秒,雲林縣西螺鎮河南里社口路埔心17號電桿處,1,普通重型-機車;自用-小客車
110年01月13日 11時13分37秒,新竹縣芎林鄉富林路口 / 新竹縣芎林鄉竹林路口,1,自用-大貨車;普通重型-機車
110年01月13日 16時01分00秒,高雄市鳥松區中正路 / 高雄市鳥松區大同路,1,營業用-曳引車;普通重型-機車;乘客-人
110年01月13日 17時07分00秒,高雄市湖內區中山路2段154號前0.0公尺前,1,腳踏自行車-慢車;普通重型-機車
110年01月14日 05時06分15秒,臺南市下營區後街里中正北路北側 / 臺南市下營區後街里人和二街西側,1,普通重型-機車;腳踏自行車-慢車;自用-小客車
110年01月14日 06時06分00秒,桃園市楊梅區高上里高上路1段67之1號前0.0公尺,1,自用-小貨車(含客、貨兩用);行人-人
110年01月14日 07時34分00秒,臺中市大甲區龍泉里中山路二段930-1號前0.0公尺,1,普通重型-機車;自用-小客車
110年01月14日 08時20分00秒,臺中市大肚區王田里沙田路1段108號前0.0公尺,1,普通重型-機車;自用-小客車;營業用-半聯結車
110年01月14日 09時59分00秒,臺東縣卑南鄉和平路東側 / 臺東縣卑南鄉和平路北側,1,普通重型-機車;自用-大貨車
110年01月14日 15時05分46秒,花蓮縣秀林鄉和平村和平路83之1號前0.0公尺,1,自用-小客車;行人-人
110年01月14日 16時39分10秒,新竹縣尖石鄉嘉樂村3鄰嘉樂路179-6號前0.0公尺附近,1,自用-小客車;營業用-大貨車
110年01月14日 16時43分00秒,臺中市東區近東英六街,1,普通重型-機車
110年01月14日 17時55分00秒,臺南市善化區南關里三民路口 / 臺南市善化區南關里永安路口,1,自用-小客車;腳踏自行車-慢車
110年01月14日 19時45分00秒,新北市板橋區新北市板橋區堤外機車專用道路與堤外機車專用道路(浮洲橫移門),1,普通重型-機車;行人-人;乘客-人
110年01月15日 04時05分00秒,臺南市歸仁區中正北路2段124號南側,1,普通重型-機車
110年01月15日 06時50分00秒,彰化縣伸港鄉溪底村濱海路 / 彰化縣伸港鄉溪底村工五路,1,普通重型-機車;自用-大貨車
110年01月15日 07時37分00秒,新北市中和區新北市中和區中正路64巷,1,普通重型-機車;民營公車-大客車
110年01月15日 08時40分00秒,新北市三峽區新北市三峽區介壽路3段115號,1,自用-小客車
110年01月15日 13時56分00秒,雲林縣褒忠鄉田洋村田洋80電桿前,1,普通重型-機車
110年01月15日 19時12分00秒,桃園市中壢區中山東路3段106號前0.0公尺附近,1,行人-人;營業用-大貨車
110年01月15日 20時15分00秒,新竹縣竹東鎮中興路一段270號前,1,普通重型-機車;普通重型-機車;乘客-人
110年01月15日 23時30分00秒,桃園市中壢區培英路口 / 桃園市中壢區育英路口,1,普通重型-機車;自用-小客車;乘客-人
110年01月16日 07時32分00秒,臺中市龍井區龍泉里沙田路5段315巷前0.0公尺,1,普通重型-機車;自用-大貨車
110年01月16日 08時53分27秒,桃園市大園區中山南路2段379號前0.0公尺,1,普通重型-機車
110年01月16日 10時30分48秒,雲林縣北港鎮樹腳里大同路(路燈編號112625前),1,普通重型-機車
110年01月16日 10時47分00秒,高雄市岡山區介壽西路前 / 高雄市岡山區通校路,1,營業用-大貨車;腳踏自行車-慢車
110年01月16日 13時48分00秒,桃園市新屋區聚賢路205號前0.0公尺,1,普通重型-機車
110年01月16日 14時06分00秒,宜蘭縣礁溪鄉玉龍路二段87號前,1,自用-小客車;租賃車-小客車
110年01月16日 16時23分00秒,高雄市岡山區嘉峰路 / 高雄市岡山區嘉峰路,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年01月16日 23時23分00秒,新北市五股區新北市五股區中興路3段192號旁,1,普通重型-機車
110年01月17日 02時34分00秒,新北市板橋區新北市板橋區環河西路4段000720號燈桿,1,普通重型-機車
110年01月17日 06時23分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區內惟路,1,普通輕型-機車;自用-小客車
110年01月17日 08時07分00秒,臺南市中西區健康路1段10號,1,自用-小客車;普通重型-機車
110年01月17日 10時44分25秒,新竹市香山區延平路二段45巷口,1,普通重型-機車;普通重型-機車;自用-小客車
110年01月17日 20時40分34秒,桃園市中壢區中觀路二段(井厝幹28之30電桿)旁,1,普通重型-機車
110年01月18日 16時11分00秒,臺南市安定區安加里區道南132線口 / 臺南市安定區安加里市道178線口,1,自用-大貨車;腳踏自行車-慢車
110年01月18日 20時44分00秒,屏東縣崁頂鄉平和南路與龍港路口,1,普通重型-機車;自用-小客車
110年01月19日 14時50分29秒,桃園市大園區聖德北路538號前0.0公尺,1,普通重型-機車;自用-大貨車
110年01月20日 05時47分00秒,新北市新莊區新北市新莊區福慧路與新知六路,1,營業用-小貨車(含客、貨兩用);大型重型2(250-550C.C.)-機車
110年01月20日 07時35分35秒,苗栗縣西湖鄉119線8.5公里處,1,自用-小客車;行人-人
110年01月20日 10時00分03秒,臺南市龍崎區182線往東22.7K附近,1,普通重型-機車;乘客-人
110年01月20日 10時20分00秒,宜蘭縣員山鄉八甲路12-1號前0.0公尺,1,普通輕型-機車
110年01月20日 11時08分00秒,桃園市新屋區東明路110號旁產業道路,1,普通重型-機車;自用-小貨車(含客、貨兩用)
110年01月20日 15時00分13秒,臺東縣達仁鄉台9戊線10.8K北上路肩,1,營業用-半聯結車
110年01月20日 16時03分00秒,臺南市佳里區鎮山里佳南路口 / 臺南市佳里區鎮山里勝利路口,1,自用-小客車;普通重型-機車
110年01月20日 16時21分00秒,澎湖縣馬公市縣202線 4公里200.0公尺處北側向外側,1,普通重型-機車
110年01月20日 18時02分09秒,雲林縣口湖鄉湖口村台17線道路北上107公里附近,1,自用-小貨車(含客、貨兩用);行人-人
110年01月20日 18時55分00秒,屏東縣鹽埔鄉新埔路839號前0.0公尺,1,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
110年01月21日 00時25分57秒,宜蘭縣宜蘭市東港橋上宜市路燈桿6265號前,1,普通重型-機車
110年01月21日 06時26分00秒,桃園市桃園區三民路2段口 / 桃園市桃園區民生路,1,營業用-曳引車;普通重型-機車
110年01月21日 12時50分24秒,宜蘭縣三星鄉上將路七段與雙和一路口,1,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
110年01月21日 17時52分00秒,臺中市西區中興里公益路 / 臺中市西區中興里美村路,1,營業用-小貨車(含客、貨兩用);普通重型-機車
110年01月21日 18時20分00秒,臺東縣東河鄉台11線 126公里400.0公尺處附近,1,自用-小客車;民營公車-大客車;乘客-人;乘客-人;乘客-人;乘客-人
110年01月21日 20時05分00秒,彰化縣大村鄉黃厝村美港路415號前0.0公尺前,1,普通重型-機車
110年01月21日 20時18分00秒,雲林縣四湖鄉林厝村文化路20巷,1,普通重型-機車
110年01月21日 20時55分00秒,桃園市楊梅區中山北路1段16號前0.0公尺,1,行人-人;自用-小客車
110年01月21日 23時56分00秒,臺東縣大武鄉台9線 408公里700.0公尺處北側向外側,1,自用-小貨車(含客、貨兩用)
110年01月22日 00時54分23秒,臺南市仁德區後壁里中正路二段附近 / 臺南市仁德區後壁里德洋路附近,1,普通重型-機車;行人-人
110年01月22日 04時51分00秒,基隆市安樂區安樂路二段145號前0.0公尺,1,普通重型-機車;行人-人
110年01月22日 05時08分00秒,臺北市大安區仁愛路4段 / 臺北市大安區復興南路1段,1,普通重型-機車;計程車-小客車
110年01月22日 11時02分00秒,高雄市左營區大中二路 / 高雄市左營區博愛三路,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年01月22日 19時09分00秒,苗栗縣苗栗市上苗里為公路口 / 苗栗縣苗栗市上苗里中正路口,1,行人-人;民營公車-大客車
110年01月23日 00時16分00秒,屏東縣里港鄉載興村載南路40號前0.0公尺,1,自用-小客車;營業用-曳引車
110年01月23日 01時58分00秒,臺南市新化區台20線 17.1公里,1,普通重型-機車
110年01月23日 06時00分00秒,新北市鶯歌區新北市鶯歌區環河路32號,2,普通重型-機車;乘客-人
110年01月23日 06時12分00秒,屏東縣屏東市潭墘里環河路前0.0公尺,1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車
110年01月23日 08時36分00秒,桃園市楊梅區國道1號 68公里900.0公尺處南側向外側,1,營業用-半聯結車;自用-小客車;乘客-人;乘客-人;乘客-人
110年01月23日 15時15分00秒,新北市淡水區新北市淡水區中正東路2段115號,1,普通重型-機車;乘客-人
110年01月23日 16時18分00秒,屏東縣內埔鄉豐田村建國路26號前0.0公尺附近,1,普通重型-機車
110年01月23日 17時01分00秒,臺南市柳營區台1線 294公里200.0公尺處北側向機、慢車道,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年01月23日 17時45分00秒,桃園市平鎮區快速路一段大溪往觀音編號P239橋墩旁,1,自用-小客車;腳踏自行車-慢車
110年01月23日 19時55分47秒,新竹縣關西鎮新力里竹21線1.5K處,1,普通重型-機車
110年01月24日 02時53分56秒,苗栗縣公館鄉五谷村台6線與苗26線口,1,自用-小客車;普通重型-機車
110年01月24日 07時00分00秒,屏東縣屏東市棒球路口 / 屏東縣屏東市復興路.口,1,普通重型-機車;自用-小客車
110年01月24日 20時08分00秒,高雄市楠梓區右昌街110號前0.0公尺前,1,普通重型-機車
110年01月25日 02時56分00秒,新北市泰山區新北市泰山區泰林路1段15號,1,普通重型-機車;拼裝車-其他車
110年01月25日 07時53分00秒,新北市蘆洲區新北市蘆洲區2號越堤道與2號越堤道,1,普通重型-機車;普通重型-機車
110年01月25日 15時08分15秒,苗栗縣三灣鄉台三線103.6公里處,1,自用-小客車;普通重型-機車
110年01月26日 06時46分00秒,臺中市西屯區西平北巷林厝公園入口處(西平北巷R17燈桿附近),1,普通重型-機車
110年01月26日 07時40分00秒,新北市淡水區新北市淡水區淡金路2段與北新路,1,普通重型-機車;營業用-曳引車;自用-小客車
110年01月26日 12時22分00秒,基隆市信義區基隆市信義區壽山路路段上,1,自用-小貨車(含客、貨兩用);普通重型-機車
110年01月26日 14時45分00秒,屏東縣枋山鄉台1線 457公里800.0公尺處北側向路肩,1,自用-小客車;乘客-人;乘客-人
110年01月26日 14時48分00秒,彰化縣二林鎮後厝里新華巷前0.0公尺,1,普通重型-機車
110年01月26日 17時09分00秒,臺南市西港區南41線3.6公里處南下一般車道,1,普通重型-機車;普通重型-機車
110年01月26日 18時50分00秒,臺東縣東河鄉台11線 147公里東側向內側,1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人;乘客-人
110年01月27日 08時28分00秒,新竹縣竹北市國道1號 91公里500.0公尺處北側向外側,1,營業用-大貨車;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人
110年01月27日 09時35分21秒,雲林縣西螺鎮大園里光復東路108號前,1,營業用-曳引車;普通重型-機車;其他人-人
110年01月27日 10時06分00秒,新北市土城區新北市土城區中央路2段與員福街,1,營業用-曳引車;腳踏自行車-慢車
